Turn,Algorithm,Depth,Nodes_Visited,Time_Seconds,Score,Move
1,Human,-,-,-,-,"(2, 2)"
2,alpha_beta,3,9500,5.0420,-3052,"(3, 3)"
3,Human,-,-,-,-,"(2, 4)"
4,alpha_beta,3,9396,5.0006,-1606,"(2, 3)"
5,Human,-,-,-,-,"(4, 3)"
6,alpha_beta,3,9400,5.0042,-4560,"(3, 4)"
7,Human,-,-,-,-,"(3, 2)"
8,alpha_beta,3,10300,5.0147,-43180,"(1, 2)"
9,Human,-,-,-,-,"(4, 5)"
10,alpha_beta,3,44,0.0267,1000000,"(0, 1)"
