Turn,Algorithm,Depth,Nodes_Visited,Time_Seconds,Score,Move
1,Human,-,-,-,-,"(4, 3)"
2,alpha_beta,1,24,0.0276,45.000000000000014,"(4, 4)"
3,Human,-,-,-,-,"(3, 4)"
4,alpha_beta,1,32,0.0356,-65.0,"(2, 5)"
5,Human,-,-,-,-,"(3, 3)"
6,alpha_beta,1,40,0.0432,1493.0000000000005,"(3, 5)"
7,Human,-,-,-,-,"(4, 5)"
8,alpha_beta,1,40,0.0420,205562.0,"(5, 3)"
9,Human,-,-,-,-,"(8, 8)"
10,alpha_beta,1,50,0.0506,1000000,"(2, 6)"
