Turn,Algorithm,Depth,Nodes_Visited,Time_Seconds,Score,Move
1,alpha_beta,3,415,0.2311,3067.4,"(4, 4)"
2,Human,-,-,-,-,"(3, 5)"
3,alpha_beta,3,9400,5.0027,-2262.6,"(3, 3)"
4,Human,-,-,-,-,"(2, 6)"
5,minimax,3,9400,5.0430,10176.8,"(5, 5)"
6,Human,-,-,-,-,"(1, 7)"
7,minimax,3,49,0.0292,1000000,"(2, 2)"
