Turn,Algorithm,Depth,Nodes_Visited,Time_Seconds,Score,Move
1,Human,-,-,-,-,"(4, 4)"
2,alpha_beta,1,24,0.0275,-1.0,"(3, 4)"
3,Human,-,-,-,-,"(5, 5)"
4,alpha_beta,1,36,0.0403,2882.0,"(3, 3)"
5,Human,-,-,-,-,"(4, 5)"
6,alpha_beta,1,40,0.0437,205633.0,"(3, 5)"
7,Human,-,-,-,-,"(8, 8)"
8,alpha_beta,1,44,0.0454,1000000,"(3, 2)"
