Turn,Algorithm,Depth,Nodes_Visited,Time_Seconds,Score,Move
1,alpha_beta,3,415,0.7099,3067.4,"(4, 4)"
2,Human,-,-,-,-,"(3, 4)"
3,alpha_beta,3,3100,5.0286,-630.3999999999996,"(3, 3)"
4,Human,-,-,-,-,"(2, 2)"
5,alpha_beta,3,3800,5.1023,36.599999999999994,"(5, 5)"
6,Human,-,-,-,-,"(6, 6)"
7,alpha_beta,3,5900,5.0532,70.19999999999982,"(5, 3)"
8,Human,-,-,-,-,"(2, 3)"
9,alpha_beta,3,6300,5.0317,-40412.0,"(3, 5)"
10,Human,-,-,-,-,"(2, 6)"
11,alpha_beta,3,64,0.0506,1000000,"(6, 2)"
