Turn,Algorithm,Depth,Nodes_Visited,Time_Seconds,Score,Move
1,Human,-,-,-,-,"(0, 2)"
2,alpha_beta,3,3264,1.6551,574.2000000000003,"(2, 4)"
3,Human,-,-,-,-,"(1, 2)"
4,alpha_beta,3,9600,5.0455,-1036.0,"(4, 2)"
5,Human,-,-,-,-,"(2, 2)"
6,alpha_beta,3,5894,2.6732,7645.0,"(3, 2)"
7,Human,-,-,-,-,"(5, 2)"
8,alpha_beta,3,9600,5.0159,10781.0,"(3, 3)"
9,Human,-,-,-,-,"(5, 1)"
10,alpha_beta,3,42,0.0260,1000000,"(1, 5)"
