Turn,Algorithm,Depth,Nodes_Visited,Time_Seconds,Score,Move
1,Human,-,-,-,-,"(1, 1)"
2,alpha_beta,3,4009,3.9182,1921.5,"(3, 3)"
3,Human,-,-,-,-,"(1, 2)"
4,alpha_beta,3,5100,5.0351,-1167.5,"(1, 4)"
5,alpha_beta,3,4972,3.5744,114853.0,"(1, 3)"
6,Human,-,-,-,-,"(8, 8)"
7,alpha_beta,3,46,0.0486,1000000,"(2, 3)"
