Turn,Algorithm,Depth,Nodes_Visited,Time_Seconds,Score,Move
1,Human,-,-,-,-,"(4, 4)"
2,alpha_beta,3,2000,5.2510,-3713.0,"(3, 4)"
3,Human,-,-,-,-,"(2, 4)"
4,alpha_beta,3,5500,5.0852,-3546.7999999999997,"(4, 3)"
5,Human,-,-,-,-,"(2, 5)"
6,alpha_beta,3,5500,5.0540,-10283.4,"(2, 3)"
7,Human,-,-,-,-,"(2, 6)"
8,alpha_beta,3,6386,5.0409,-240989.4,"(2, 7)"
9,Human,-,-,-,-,"(3, 5)"
10,alpha_beta,3,5600,5.0223,-1000000,"(5, 3)"
11,Human,-,-,-,-,"(1, 7)"
