
1,3.0,16.14,87755,8382,978,112,7,1.493
2,3.0,15.50,76037,8123,1190,127,7,1.498
3,3.0,12.93,61176,6429,915,125,5,1.478
4,2.5,15.51,46620,7558,765,142,4,1.633
5,3.0,14.22,49718,7548,755,137,2,1.524
6,3.5,14.46,64462,6861,651,120,2,1.370
7,3.5,16.80,70084,8711,697,90,1,1.310
8,4.0,14.57,64000,8426,535,100,1,1.046
9,4.0,14.43,53248,8260,452,71,1,0.800
10,2.5,14.28,37553,6624,391,59,1,0.848
11,4.0,13.54,32487,4982,327,50,1,0.800
12,3.5,14.62,33247,6151,377,57,1,1.094
13,3.0,15.09,28450,4925,341,42,1,1.373
14,4.0,12.83,30511,4000,343,36,1,1.340
15,3.0,11.62,30716,3989,305,46,1,1.211
16,2.5,12.86,25084,4396,383,56,1,1.159
17,3.5,12.69,22743,4193,316,70,1,1.084
18,4.0,15.59,22731,3776,305,75,1,0.913
19,3.0,13.86,28394,4734,349,87,1,0.800
20,3.5,15.75,30440,4593,404,90,1,0.956
21,5.0,14.38,27873,4723,474,75,1,1.026
22,3.5,12.61,24953,3371,582,65,1,1.057
23,3.0,14.83,27018,4366,613,59,1,1.195
24,5.0,13.71,22487,3400,677,54,1,0.928
25,3.5,14.41,28674,3790,546,45,1,0.800
26,3.0,12.14,32445,4926,576,37,1,1.057
27,3.5,13.52,23029,4433,601,36,1,0.800
28,4.0,13.16,23964,5190,594,31,1,0.800
29,4.0,14.20,19534,6057,594,31,1,0.800
30,4.0,13.59,23687,6541,654,36,1,0.825
31,2.5,15.25,22902,5431,615,46,1,1.012
32,2.5,14.86,26291,4679,734,45,1,0.911
33,3.0,14.22,31634,4507,592,42,1,1.173
34,3.5,14.93,40048,4744,502,52,1,1.422
35,4.0,14.52,39995,3979,614,39,1,1.653
36,5.0,15.30,39433,3998,501,37,1,1.604
37,4.0,13.81,29166,3309,547,33,1,1.581
38,4.0,15.37,36601,3607,427,40,1,1.630
39,3.0,16.17,40121,2664,553,31,1,1.407
40,3.0,15.44,43416,3323,615,33,1,1.528
41,2.5,15.29,39780,3735,539,41,1,1.411
42,3.0,15.44,49373,4304,524,37,1,1.302
43,3.0,16.86,54816,3235,503,37,1,1.321
44,3.0,15.39,60851,3035,653,34,1,1.559
45,3.0,17.58,75636,2626,785,33,1,1.468
46,3.5,13.48,94077,2833,647,29,1,1.330
47,4.0,17.34,78813,3494,793,32,1,1.243
48,4.0,16.53,62510,4206,674,33,1,1.424
49,3.5,13.20,52636,4117,561,30,1,1.369
50,4.0,13.24,65502,5207,557,35,1,1.448
1,4.0,14.65,121669,11971,1246,76,11,1.205
2,3.0,13.49,124605,14032,1200,72,11,1.054
3,3.0,13.39,114868,14624,1545,93,9,1.076
4,3.0,15.08,101203,14387,1266,100,7,0.928
5,3.0,12.13,104658,11882,1119,114,8,0.962
6,3.0,15.72,111375,15393,1291,117,9,1.166
7,3.0,14.22,141884,14786,1188,131,9,1.287
8,3.0,13.33,152947,15992,866,136,10,1.069
9,3.0,13.75,161145,13800,894,121,9,0.852
10,3.0,15.43,125729,17925,1057,124,7,1.089
11,3.5,14.55,104998,19775,1067,141,8,0.815
12,3.5,15.39,96162,19604,816,143,7,0.800
13,3.0,13.59,111946,16021,907,151,7,0.800
14,2.5,13.56,80735,18469,1141,138,8,0.892
15,3.0,14.56,86843,22959,1398,136,9,0.800
16,4.0,14.76,82354,19394,1030,147,10,0.800
17,3.0,15.95,60604,23861,853,183,7,0.800
18,3.0,15.06,56450,18441,697,173,5,0.945
19,3.0,13.21,41011,20803,698,186,5,1.079
20,2.5,14.25,37593,26542,688,169,5,1.321
21,3.0,14.00,46956,34079,626,216,4,1.219
22,3.5,14.57,33027,28168,587,221,4,1.467
23,3.0,13.44,33362,36052,742,223,4,1.587
24,3.5,255.60,30088,39927,616,171,4,1.756
25,2.5,13.38,27285,35873,786,211,4,1.978
26,2.5,17.76,32954,35707,572,151,5,1.963
27,2.5,16.79,35803,39924,641,184,5,2.000
28,4.0,21.87,36506,50051,744,156,4,2.000
29,2.5,22.33,28561,41504,850,191,3,1.855
30,3.5,17.75,30722,46909,651,199,3,1.556
31,3.0,17.20,35004,49716,735,144,2,1.644
32,3.5,15.92,39625,51353,837,116,2,1.823
33,3.0,18.35,40672,36842,985,101,2,2.000
34,4.0,16.56,37226,38973,1169,130,1,2.000
35,3.0,17.85,40508,28882,1308,135,1,1.941
36,4.0,14.04,45282,37346,974,110,1,2.000
37,3.0,21.30,40164,40544,726,83,1,2.000
38,2.5,17.15,37453,46952,701,69,1,2.000
39,2.5,14.88,36444,57618,691,88,1,2.000
40,3.0,17.93,43927,74264,865,93,1,2.000
41,5.0,19.57,47100,72122,963,82,1,1.970
42,2.5,17.65,38731,66504,896,105,1,2.000
43,4.0,20.82,33187,49084,1000,79,1,2.000
44,4.0,18.45,32494,35791,854,62,1,1.709
45,2.5,17.80,29035,42686,946,48,1,1.824
46,3.5,18.73,24493,41298,1039,34,1,2.000
47,3.0,23.66,19212,43540,1062,24,1,1.855
48,3.5,19.33,17328,31132,912,17,1,2.000
49,4.0,19.12,21406,22097,771,19,1,1.958
50,3.0,17.40,19680,23437,750,19,1,2.000
